Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,6,2013-02-23,3274,372,1,0,0,0
1,7,2013-02-24,2652,242,1,0,0,0
1,1,2013-02-25,7858,757,1,1,0,0
1,2,2013-02-26,5385,515,1,1,0,0
1,3,2013-02-27,4855,443,1,0,0,0
1,4,2013-02-28,5356,541,1,0,0,0
1,5,2013-03-01,5380,626,1,0,0,0
1,6,2013-03-02,4271,419,1,1,0,0
1,7,2013-03-03,2292,218,1,0,0,0
1,1,2013-03-04,7726,725,1,1,0,0
1,2,2013-03-05,0,0,0,0,0,0
1,3,2013-03-06,5831,542,1,1,0,0
1,4,2013-03-07,4684,499,1,1,0,0
1,5,2013-03-08,5238,551,1,1,0,0
1,6,2013-03-09,3357,385,1,0,0,0
1,7,2013-03-10,0,0,0,0,0,0
1,1,2013-03-11,5444,571,1,0,0,0
1,2,2013-03-12,4113,433,1,0,0,0
1,3,2013-03-13,4801,510,1,0,0,0
1,4,2013-03-14,6469,671,1,1,0,0
1,5,2013-03-15,6383,585,1,1,0,0
1,6,2013-03-16,3705,344,1,0,0,0
1,7,2013-03-17,0,0,0,1,0,0
1,1,2013-03-18,4040,404,1,0,0,0
1,2,2013-03-19,5613,603,1,1,0,0
1,3,2013-03-20,5153,520,1,0,0,0
1,4,2013-03-21,5379,555,1,0,0,0
1,5,2013-03-22,5005,558,1,0,0,0
1,6,2013-03-23,4757,436,1,1,0,0
1,7,2013-03-24,2730,311,1,1,0,0
1,1,2013-03-25,6382,662,1,1,0,0
1,2,2013-03-26,6402,729,1,1,0,0
1,3,2013-03-27,5819,645,1,1,0,0
1,4,2013-03-28,5375,632,1,0,0,0
1,5,2013-03-29,3183,325,1,0,a,0
1,6,2013-03-30,5409,517,1,1,0,0
1,7,2013-03-31,2761,284,1,1,0,0
1,1,2013-04-01,3810,394,1,1,c,0
1,2,2013-04-02,6536,605,1,1,0,1
1,3,2013-04-03,0,0,0,1,0,1
1,4,2013-04-04,5731,574,1,0,0,1
1,5,2013-04-05,8140,913,1,1,0,0
1,6,2013-04-06,3892,403,1,0,0,1
1,7,2013-04-07,3939,375,1,1,0,0
1,1,2013-04-08,7810,898,1,1,0,0
1,2,2013-04-09,6381,618,1,1,0,1
1,3,2013-04-10,5318,532,1,0,0,1
1,4,2013-04-11,6914,707,1,1,0,0
1,5,2013-04-12,8254,828,1,1,0,1
1,6,2013-04-13,3986,396,1,0,0,0
1,7,2013-04-14,0,0,0,1,0,0
1,1,2013-04-15,5689,569,1,0,0,0
1,2,2013-04-16,4898,495,1,0,0,1
1,3,2013-04-17,5834,561,1,0,0,0
1,4,2013-04-18,5159,491,1,0,0,0
1,5,2013-04-19,5711,601,1,0,0,1
1,6,2013-04-20,5022,558,1,1,0,0
1,7,2013-04-21,3033,283,1,1,0,0
1,1,2013-04-22,4274,408,1,0,0,0
1,2,2013-04-23,6414,611,1,1,0,0
1,3,2013-04-24,6583,601,1,1,0,0
1,4,2013-04-25,5401,580,1,0,0,0
1,5,2013-04-26,6150,567,1,0,0,0
1,6,2013-04-27,5489,621,1,1,0,1
1,7,2013-04-28,0,0,0,0,0,1
1,1,2013-04-29,7512,701,1,1,0,1
1,2,2013-04-30,6732,696,1,1,0,1
1,3,2013-05-01,3718,341,1,1,a,0
1,4,2013-05-02,4336,474,1,0,0,0
1,5,2013-05-03,5654,525,1,0,0,0
1,6,2013-05-04,3724,429,1,0,0,0
1,7,2013-05-05,0,0,0,1,0,0
1,1,2013-05-06,6336,630,1,1,0,0
1,2,2013-05-07,7120,799,1,1,0,0
1,3,2013-05-08,4971,537,1,0,0,0
1,4,2013-05-09,5503,527,1,0,0,0
1,5,2013-05-10,6908,643,1,0,0,0
1,6,2013-05-11,4866,543,1,1,0,0
1,7,2013-05-12,0,0,0,0,0,0
1,1,2013-05-13,6721,628,1,0,0,0
1,2,2013-05-14,6355,697,1,0,0,0
1,3,2013-05-15,5555,531,1,0,0,0
1,4,2013-05-16,5403,549,1,0,0,0
1,5,2013-05-17,7400,680,1,1,0,0
1,6,2013-05-18,4430,448,1,0,0,0
1,7,2013-05-19,0,0,0,1,0,0
1,1,2013-05-20,7938,853,1,1,0,0
1,2,2013-05-21,5800,590,1,0,0,0
1,3,2013-05-22,5744,554,1,0,0,0
1,4,2013-05-23,7427,794,1,1,0,0
1,5,2013-05-24,7090,704,1,1,0,0
1,6,2013-05-25,5027,465,1,0,0,0
1,7,2013-05-26,0,0,0,0,0,0
1,1,2013-05-27,0,0,0,0,0,0
1,2,2013-05-28,7935,899,1,1,0,0
1,3,2013-05-29,5692,526,1,0,0,0
1,4,2013-05-30,6188,609,1,0,0,0
1,5,2013-05-31,6126,654,1,0,0,0
1,6,2013-06-01,4515,524,1,0,0,0
1,7,2013-06-02,0,0,0,0,0,0
1,1,2013-06-03,5961,587,1,0,0,0
1,2,2013-06-04,6727,650,1,0,0,0
1,3,2013-06-05,6024,616,1,0,0,0
1,4,2013-06-06,5565,594,1,0,0,0
1,5,2013-06-07,5883,673,1,0,0,0
1,6,2013-06-08,4702,549,1,0,0,0
1,7,2013-06-09,0,0,0,1,0,0
1,1,2013-06-10,5525,543,1,0,0,0
1,2,2013-06-11,7080,768,1,1,0,0
1,3,2013-06-12,5844,592,1,0,0,0
1,4,2013-06-13,4391,480,1,0,0,0
1,5,2013-06-14,8447,889,1,1,0,0
1,6,2013-06-15,5314,497,1,1,0,0
1,7,2013-06-16,3300,354,1,0,0,0
1,1,2013-06-17,6247,669,1,0,0,0
1,2,2013-06-18,6047,570,1,0,0,0
1,3,2013-06-19,5509,529,1,0,0,0
1,4,2013-06-20,6452,638,1,0,0,0
1,5,2013-06-21,7896,828,1,1,0,0
1,6,2013-06-22,4885,547,1,0,0,0
1,7,2013-06-23,0,0,0,1,0,0
1,1,2013-06-24,6140,588,1,0,0,0
1,2,2013-06-25,4824,537,1,0,0,0
1,3,2013-06-26,7206,665,1,0,0,0
1,4,2013-06-27,7091,676,1,1,0,0
1,5,2013-06-28,5664,645,1,0,0,0
1,6,2013-06-29,5459,552,1,1,0,0
1,7,2013-06-30,2889,262,1,0,0,0
1,1,2013-07-01,8685,934,1,1,0,0
1,2,2013-07-02,6030,642,1,0,0,1
1,3,2013-07-03,6350,682,1,0,0,0
1,4,2013-07-04,5481,618,1,0,0,0
1,5,2013-07-05,7811,901,1,1,0,1
1,6,2013-07-06,5471,637,1,1,0,0
1,7,2013-07-07,3121,295,1,1,0,1
1,1,2013-07-08,6066,586,1,0,0,1
1,2,2013-07-09,5719,591,1,0,0,0
1,3,2013-07-10,7181,816,1,1,0,1
1,4,2013-07-11,7905,832,1,1,0,1
1,5,2013-07-12,8046,848,1,1,0,0
1,6,2013-07-13,3744,413,1,0,0,0
1,7,2013-07-14,2809,265,1,0,0,0
1,1,2013-07-15,6961,716,1,1,0,1
1,2,2013-07-16,4782,482,1,0,0,0
1,3,2013-07-17,6197,625,1,1,0,0
1,4,2013-07-18,6152,573,1,1,0,1
1,5,2013-07-19,8632,890,1,1,0,0
1,6,2013-07-20,6646,739,1,1,0,1
1,7,2013-07-21,3724,416,1,1,0,1
1,1,2013-07-22,5676,657,1,0,0,1
1,2,2013-07-23,6893,642,1,1,0,0
1,3,2013-07-24,5813,578,1,1,0,1
1,4,2013-07-25,6256,637,1,0,0,0
1,5,2013-07-26,7982,734,1,1,0,0
1,6,2013-07-27,3829,392,1,0,0,1
1,7,2013-07-28,2797,317,1,0,0,1
1,1,2013-07-29,8762,878,1,1,0,1
1,2,2013-07-30,5661,523,1,0,0,0
1,3,2013-07-31,6039,608,1,0,0,1
1,4,2013-08-01,5154,550,1,0,0,0
1,5,2013-08-02,8122,857,1,1,0,1
1,6,2013-08-03,4231,400,1,0,0,0
1,7,2013-08-04,3451,363,1,0,0,1
1,1,2013-08-05,5660,554,1,0,0,1
1,2,2013-08-06,5589,573,1,1,0,0
1,3,2013-08-07,6062,566,1,1,0,0
1,4,2013-08-08,5214,499,1,0,0,1
1,5,2013-08-09,4817,452,1,0,0,0
1,6,2013-08-10,3358,318,1,0,0,0
1,7,2013-08-11,3355,355,1,0,0,0
1,1,2013-08-12,7121,773,1,1,0,0
1,2,2013-08-13,5732,593,1,0,0,1
1,3,2013-08-14,6907,687,1,1,0,0
1,4,2013-08-15,4542,513,1,0,0,0
1,5,2013-08-16,7882,828,1,1,0,1
1,6,2013-08-17,4476,419,1,0,0,1
1,7,2013-08-18,2801,255,1,0,0,1
1,1,2013-08-19,8250,766,1,1,0,0
1,2,2013-08-20,5659,534,1,0,0,0
1,3,2013-08-21,5131,540,1,0,0,0
1,4,2013-08-22,7427,827,1,1,0,0
1,5,2013-08-23,6297,613,1,0,0,1
1,6,2013-08-24,3486,395,1,0,0,0
1,7,2013-08-25,3354,326,1,0,0,0
1,1,2013-08-26,4814,507,1,0,0,1
1,2,2013-08-27,6283,580,1,1,0,0
1,3,2013-08-28,5503,503,1,1,0,1
1,4,2013-08-29,4535,498,1,0,0,0
1,5,2013-08-30,6672,672,1,1,0,1
1,6,2013-08-31,4314,410,1,0,0,0
1,7,2013-09-01,3283,376,1,0,0,0
1,1,2013-09-02,6326,669,1,0,0,0
1,2,2013-09-03,5546,596,1,0,0,0
1,3,2013-09-04,5654,623,1,0,0,0
1,4,2013-09-05,6493,723,1,1,0,0
1,5,2013-09-06,5594,572,1,0,0,0
1,6,2013-09-07,3546,365,1,0,0,0
1,7,2013-09-08,0,0,0,1,0,0
1,1,2013-09-09,7181,832,1,1,0,0
1,2,2013-09-10,5107,527,1,0,0,0
1,3,2013-09-11,5101,487,1,0,0,0
1,4,2013-09-12,6329,628,1,0,0,0
1,5,2013-09-13,5912,542,1,0,0,0
1,6,2013-09-14,4393,449,1,0,0,0
1,7,2013-09-15,2965,335,1,1,0,0
1,1,2013-09-16,4347,404,1,0,0,0
1,2,2013-09-17,5684,639,1,1,0,0
1,3,2013-09-18,6877,642,1,1,0,0
1,4,2013-09-19,4665,496,1,0,0,0
1,5,2013-09-20,6931,747,1,1,0,0
1,6,2013-09-21,3521,405,1,0,0,0
1,7,2013-09-22,2973,309,1,0,0,0
1,1,2013-09-23,8031,898,1,1,0,0
1,2,2013-09-24,4047,389,1,0,0,0
1,3,2013-09-25,6465,673,1,1,0,0
1,4,2013-09-26,5331,512,1,1,0,0
1,5,2013-09-27,5081,476,1,0,0,0
1,6,2013-09-28,3799,352,1,0,0,0
1,7,2013-09-29,3444,355,1,1,0,0
1,1,2013-09-30,5633,570,1,0,0,0
1,2,2013-10-01,5852,558,1,1,0,0
1,3,2013-10-02,5698,531,1,0,0,0
1,4,2013-10-03,4886,487,1,0,0,0
1,5,2013-10-04,6092,659,1,1,0,0
1,6,2013-10-05,4555,418,1,1,0,0
1,7,2013-10-06,0,0,0,0,0,0
1,1,2013-10-07,7431,705,1,1,0,0
1,2,2013-10-08,5058,496,1,0,0,0
1,3,2013-10-09,5851,536,1,1,0,0
1,4,2013-10-10,4098,448,1,0,0,0
1,5,2013-10-11,5099,481,1,0,0,0
1,6,2013-10-12,5344,486,1,1,0,0
1,7,2013-10-13,0,0,0,1,0,0
1,1,2013-10-14,4944,521,1,0,0,0
1,2,2013-10-15,6895,767,1,1,0,0
1,3,2013-10-16,4137,409,1,0,0,0
1,4,2013-10-17,5025,528,1,0,0,0
1,5,2013-10-18,5761,554,1,1,0,0
1,6,2013-10-19,3205,357,1,0,0,0
1,7,2013-10-20,2572,244,1,0,0,0
1,1,2013-10-21,6692,757,1,1,0,0
1,2,2013-10-22,6276,591,1,0,0,0
1,3,2013-10-23,6440,637,1,1,0,0
1,4,2013-10-24,6195,582,1,1,0,0
1,5,2013-10-25,6610,619,1,1,0,0
1,6,2013-10-26,3745,424,1,0,0,0
1,7,2013-10-27,2851,266,1,0,0,0
1,1,2013-10-28,5449,525,1,0,0,0
1,2,2013-10-29,5230,536,1,1,0,0
1,3,2013-10-30,4617,441,1,0,0,0
1,4,2013-10-31,6330,620,1,1,0,0
1,5,2013-11-01,6543,600,1,1,0,0
1,6,2013-11-02,4520,481,1,0,0,0
1,7,2013-11-03,2390,250,1,0,0,0
1,1,2013-11-04,6109,645,1,1,0,0
1,2,2013-11-05,4964,476,1,0,0,0
1,3,2013-11-06,4820,455,1,0,0,0
1,4,2013-11-07,5335,538,1,1,0,0
1,5,2013-11-08,6632,621,1,1,0,0
1,6,2013-11-09,3928,455,1,0,0,0
1,7,2013-11-10,2408,266,1,0,0,0
1,1,2013-11-11,6287,692,1,0,0,0
1,2,2013-11-12,4473,443,1,0,0,0
1,3,2013-11-13,5484,569,1,0,0,0
1,4,2013-11-14,5793,550,1,1,0,0
1,5,2013-11-15,4771,436,1,0,0,0
1,6,2013-11-16,3391,380,1,0,0,0
1,7,2013-11-17,0,0,0,1,0,0
1,1,2013-11-18,7689,885,1,1,0,0
1,2,2013-11-19,4420,423,1,0,0,0
1,3,2013-11-20,4556,464,1,0,0,0
1,4,2013-11-21,4984,515,1,0,0,0
1,5,2013-11-22,4843,545,1,0,0,0
1,6,2013-11-23,3088,302,1,0,0,0
1,7,2013-11-24,2381,263,1,0,0,0
1,1,2013-11-25,4676,471,1,0,0,0
1,2,2013-11-26,5429,541,1,0,0,0
1,3,2013-11-27,5130,503,1,1,0,0
1,4,2013-11-28,5198,545,1,1,0,0
1,5,2013-11-29,5536,534,1,1,0,0
1,6,2013-11-30,3375,324,1,0,0,0
1,7,2013-12-01,2155,219,1,0,0,0
1,1,2013-12-02,5026,517,1,0,0,1
1,2,2013-12-03,5126,532,1,0,0,0
1,3,2013-12-04,5782,603,1,1,0,1
1,4,2013-12-05,6338,713,1,0,0,1
1,5,2013-12-06,9192,909,1,1,0,0
1,6,2013-12-07,5350,548,1,0,0,1
1,7,2013-12-08,3698,405,1,0,0,1
1,1,2013-12-09,7867,801,1,0,0,0
1,2,2013-12-10,7486,762,1,0,0,0
1,3,2013-12-11,9673,882,1,1,0,0
1,4,2013-12-12,5806,588,1,0,0,1
1,5,2013-12-13,6685,644,1,0,0,0
1,6,2013-12-14,7097,667,1,1,0,1
1,7,2013-12-15,0,0,0,1,0,0
1,1,2013-12-16,8609,849,1,1,0,1
1,2,2013-12-17,7939,928,1,1,0,1
1,3,2013-12-18,8911,927,1,1,0,0
1,4,2013-12-19,6636,741,1,0,0,0
1,5,2013-12-20,7459,734,1,0,0,1
1,6,2013-12-21,4165,450,1,0,0,0
1,7,2013-12-22,5256,511,1,1,0,1
1,1,2013-12-23,0,0,0,0,0,0
1,2,2013-12-24,7032,803,1,0,0,0
1,3,2013-12-25,3696,383,1,0,c,1
1,4,2013-12-26,4747,527,1,1,a,0
1,5,2013-12-27,7776,911,1,1,0,0
1,6,2013-12-28,4709,476,1,0,0,0
1,7,2013-12-29,0,0,0,0,0,0
1,1,2013-12-30,6982,674,1,0,0,0
1,2,2013-12-31,7445,761,1,0,0,0
1,3,2014-01-01,2914,322,1,0,a,1
1,4,2014-01-02,3917,367,1,0,0,0
1,5,2014-01-03,4376,404,1,0,0,1
1,6,2014-01-04,3402,390,1,0,0,0
1,7,2014-01-05,3212,348,1,1,0,0
1,1,2014-01-06,4484,466,1,0,0,0
1,2,2014-01-07,4712,484,1,0,0,1
1,3,2014-01-08,6105,662,1,1,0,0
1,4,2014-01-09,4445,483,1,0,0,0
1,5,2014-01-10,5153,587,1,0,0,1
1,6,2014-01-11,0,0,0,1,0,0
1,7,2014-01-12,0,0,0,0,0,1
1,1,2014-01-13,5127,547,1,0,0,1
1,2,2014-01-14,6299,736,1,1,0,0
1,3,2014-01-15,4720,468,1,0,0,1
1,4,2014-01-16,4280,433,1,0,0,1
1,5,2014-01-17,6112,634,1,1,0,0
1,6,2014-01-18,5405,557,1,1,0,0
1,7,2014-01-19,0,0,0,1,0,0
1,1,2014-01-20,5364,495,1,0,0,1
1,2,2014-01-21,4673,438,1,0,0,1
1,3,2014-01-22,6035,614,1,1,0,0
1,4,2014-01-23,5687,599,1,1,0,1
1,5,2014-01-24,4381,478,1,0,0,1
1,6,2014-01-25,4278,454,1,1,0,0
1,7,2014-01-26,2903,337,1,1,0,0
1,1,2014-01-27,6792,645,1,1,0,1
1,2,2014-01-28,4234,385,1,0,0,0
1,3,2014-01-29,5790,647,1,1,0,0
1,4,2014-01-30,5867,682,1,1,0,0
1,5,2014-01-31,6329,704,1,1,0,1
1,6,2014-02-01,2869,307,1,0,0,0
1,7,2014-02-02,0,0,0,1,0,0
1,1,2014-02-03,5705,527,1,0,0,0
1,2,2014-02-04,4505,431,1,0,0,0
1,3,2014-02-05,4784,499,1,0,0,0
1,4,2014-02-06,5142,475,1,0,0,0
1,5,2014-02-07,5103,584,1,0,0,0
1,6,2014-02-08,4607,438,1,1,0,0
1,7,2014-02-09,3419,358,1,1,0,0
1,1,2014-02-10,5345,563,1,0,0,0
1,2,2014-02-11,4921,458,1,0,0,0
1,3,2014-02-12,6149,644,1,1,0,0
1,4,2014-02-13,4884,520,1,0,0,0
1,5,2014-02-14,5579,610,1,0,0,0
1,6,2014-02-15,3873,365,1,0,0,0
1,7,2014-02-16,0,0,0,0,0,0
1,1,2014-02-17,5981,653,1,0,0,0
1,2,2014-02-18,6566,637,1,1,0,0
1,3,2014-02-19,5302,611,1,0,0,0
1,4,2014-02-20,6673,758,1,1,0,0
1,5,2014-02-21,5419,582,1,0,0,0
1,6,2014-02-22,3522,396,1,0,0,0
1,7,2014-02-23,0,0,0,0,0,0
1,1,2014-02-24,5729,530,1,0,0,0
1,2,2014-02-25,5313,488,1,1,0,0
1,3,2014-02-26,5618,588,1,1,0,0
1,4,2014-02-27,4955,482,1,0,0,0
1,5,2014-02-28,6391,683,1,1,0,0
1,6,2014-03-01,4447,428,1,1,0,0
1,7,2014-03-02,4195,426,1,1,0,0
1,1,2014-03-03,6300,689,1,1,0,0
1,2,2014-03-04,6387,634,1,1,0,0
1,3,2014-03-05,6046,579,1,1,0,0
1,4,2014-03-06,5544,565,1,0,0,0
1,5,2014-03-07,5587,583,1,0,0,0
1,6,2014-03-08,4426,506,1,0,0,0
1,7,2014-03-09,2743,266,1,0,0,0
1,1,2014-03-10,5125,493,1,0,0,0
1,2,2014-03-11,5280,533,1,0,0,0
1,3,2014-03-12,5210,545,1,0,0,0
1,4,2014-03-13,7533,835,1,1,0,0
1,5,2014-03-14,5298,588,1,0,0,0
1,6,2014-03-15,3659,364,1,0,0,0
1,7,2014-03-16,0,0,0,1,0,0
1,1,2014-03-17,5218,613,1,0,0,0
1,2,2014-03-18,5195,536,1,0,0,0
1,3,2014-03-19,4539,462,1,0,0,0
1,4,2014-03-20,5443,495,1,0,0,0
1,5,2014-03-21,5323,567,1,0,0,0
1,6,2014-03-22,5062,519,1,1,0,0
1,7,2014-03-23,3886,446,1,1,0,0
1,1,2014-03-24,4992,554,1,0,0,0
1,2,2014-03-25,5976,632,1,0,0,0
1,3,2014-03-26,6996,684,1,1,0,0
1,4,2014-03-27,7355,848,1,1,0,0
1,5,2014-03-28,7902,857,1,1,0,0
1,6,2014-03-29,6602,623,1,1,0,0
1,7,2014-03-30,0,0,0,1,0,0
1,1,2014-03-31,4205,426,1,0,0,0
1,2,2014-04-01,5406,492,1,0,0,0
1,3,2014-04-02,6030,562,1,0,0,1
1,4,2014-04-03,5530,587,1,0,0,1
1,5,2014-04-04,6230,682,1,0,0,1
1,6,2014-04-05,6111,691,1,1,0,0
1,7,2014-04-06,3752,435,1,1,0,1
1,1,2014-04-07,6513,750,1,0,0,1
1,2,2014-04-08,5373,537,1,0,0,1
1,3,2014-04-09,7921,801,1,1,0,1
1,4,2014-04-10,5497,522,1,0,0,0
1,5,2014-04-11,6357,586,1,0,0,1
1,6,2014-04-12,4424,455,1,0,0,0
1,7,2014-04-13,0,0,0,1,0,0
1,1,2014-04-14,5833,560,1,0,0,1
1,2,2014-04-15,5832,570,1,0,0,0
1,3,2014-04-16,5884,590,1,0,0,0
1,4,2014-04-17,4584,451,1,0,0,0
1,5,2014-04-18,3692,409,1,0,c,0
1,6,2014-04-19,4088,429,1,0,0,0
1,7,2014-04-20,3106,296,1,0,0,0
1,1,2014-04-21,3738,380,1,0,a,1
1,2,2014-04-22,6509,718,1,0,0,1
1,3,2014-04-23,5111,546,1,0,0,0
1,4,2014-04-24,5377,570,1,0,0,0
1,5,2014-04-25,9018,830,1,1,0,1
1,6,2014-04-26,6112,579,1,1,0,1
1,7,2014-04-27,0,0,0,0,0,0
1,1,2014-04-28,6296,729,1,0,0,0
1,2,2014-04-29,5137,568,1,0,0,0
1,3,2014-04-30,5331,490,1,0,0,1
1,4,2014-05-01,4124,380,1,1,b,0
1,5,2014-05-02,5938,614,1,0,0,0
1,6,2014-05-03,4530,498,1,1,0,0
1,7,2014-05-04,3679,407,1,1,0,0
1,1,2014-05-05,6603,656,1,0,0,0
1,2,2014-05-06,7603,706,1,1,0,0
1,3,2014-05-07,4499,445,1,0,0,0
1,4,2014-05-08,8553,858,1,1,0,0
1,5,2014-05-09,7534,770,1,1,0,0
1,6,2014-05-10,5032,551,1,0,0,0
1,7,2014-05-11,2903,312,1,0,0,0
1,1,2014-05-12,7636,755,1,0,0,0
1,2,2014-05-13,8347,974,1,1,0,0
1,3,2014-05-14,5975,594,1,0,0,0
1,4,2014-05-15,5911,590,1,0,0,0
1,5,2014-05-16,8989,886,1,1,0,0
1,6,2014-05-17,5375,517,1,1,0,0
1,7,2014-05-18,3081,289,1,0,0,0
1,1,2014-05-19,6171,582,1,0,0,0
1,2,2014-05-20,7440,773,1,1,0,0
1,3,2014-05-21,8197,862,1,1,0,0
1,4,2014-05-22,5650,641,1,0,0,0
1,5,2014-05-23,5064,532,1,0,0,0
1,6,2014-05-24,4677,459,1,0,0,0
1,7,2014-05-25,3933,391,1,1,0,0
1,1,2014-05-26,5283,492,1,0,0,0
1,2,2014-05-27,6122,667,1,0,0,0
1,3,2014-05-28,8463,801,1,1,0,0
1,4,2014-05-29,6555,722,1,0,0,0
1,5,2014-05-30,6203,626,1,0,0,0
1,6,2014-05-31,7102,815,1,1,0,0
1,7,2014-06-01,3311,345,1,0,0,0
1,1,2014-06-02,9294,1033,1,1,0,0
1,2,2014-06-03,6125,574,1,0,0,0
1,3,2014-06-04,6631,631,1,0,0,0
1,4,2014-06-05,7070,740,1,0,0,0
1,5,2014-06-06,5606,518,1,0,0,0
1,6,2014-06-07,5012,552,1,0,0,0
1,7,2014-06-08,3581,368,1,0,0,0
1,1,2014-06-09,6940,698,1,0,0,0
1,2,2014-06-10,5588,588,1,0,0,0
1,3,2014-06-11,5828,602,1,0,0,0
1,4,2014-06-12,5435,517,1,0,0,0
1,5,2014-06-13,7411,804,1,1,0,0
1,6,2014-06-14,5353,585,1,1,0,0
1,7,2014-06-15,3213,292,1,0,0,0
1,1,2014-06-16,9218,1074,1,1,0,0
1,2,2014-06-17,5611,570,1,0,0,0
1,3,2014-06-18,5284,546,1,0,0,0
1,4,2014-06-19,7097,702,1,1,0,0
1,5,2014-06-20,6365,597,1,1,0,0
1,6,2014-06-21,4293,503,1,0,0,0
1,7,2014-06-22,2891,303,1,0,0,0
1,1,2014-06-23,6159,696,1,0,0,0
1,2,2014-06-24,5952,643,1,0,0,0
1,3,2014-06-25,7136,739,1,1,0,0
1,4,2014-06-26,6761,680,1,0,0,0
1,5,2014-06-27,6894,662,1,0,0,0
1,6,2014-06-28,3881,432,1,0,0,0
1,7,2014-06-29,3328,314,1,1,0,0
1,1,2014-06-30,6192,580,1,0,0,0
1,2,2014-07-01,6192,573,1,0,0,0
1,3,2014-07-02,8362,869,1,1,0,1
1,4,2014-07-03,6015,572,1,0,0,0
1,5,2014-07-04,6950,686,1,1,0,0
1,6,2014-07-05,6430,734,1,1,0,1
1,7,2014-07-06,3865,392,1,1,0,0
1,1,2014-07-07,5602,541,1,0,0,0
1,2,2014-07-08,5929,631,1,0,0,0
1,3,2014-07-09,6635,766,1,0,0,0
1,4,2014-07-10,8211,795,1,1,0,1
1,5,2014-07-11,8407,977,1,1,0,1
1,6,2014-07-12,5025,524,1,0,0,1
1,7,2014-07-13,2974,271,1,0,0,1
1,1,2014-07-14,5946,574,1,0,0,1
1,2,2014-07-15,6493,635,1,0,0,0
1,3,2014-07-16,7329,850,1,0,0,1
1,4,2014-07-17,6668,738,1,0,0,0
1,5,2014-07-18,7858,832,1,1,0,1
1,6,2014-07-19,5182,498,1,0,0,0
1,7,2014-07-20,2998,314,1,0,0,0
1,1,2014-07-21,7925,899,1,1,0,1
1,2,2014-07-22,5953,592,1,0,0,0
1,3,2014-07-23,6963,770,1,1,0,1
1,4,2014-07-24,5767,647,1,0,0,0
1,5,2014-07-25,6555,723,1,0,0,1
1,6,2014-07-26,4490,506,1,0,0,1
1,7,2014-07-27,2871,262,1,0,0,0
1,1,2014-07-28,6246,576,1,0,0,0
1,2,2014-07-29,5751,526,1,0,0,1
1,3,2014-07-30,5129,578,1,0,0,0
1,4,2014-07-31,5633,618,1,0,0,0
1,5,2014-08-01,8892,1043,1,1,0,0
1,6,2014-08-02,3799,372,1,0,0,1
1,7,2014-08-03,3296,332,1,0,0,0
